model,k,topK,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
KNN,850,,"[0.0608, 0.0028]","[0.0576, 0.0024]","[0.0552, 0.0021]","[0.0654, 0.0037]","[0.0466, 0.0014]","[0.1429, 0.0039]","[0.0538, 0.0021]","[0.0497, 0.0017]","[0.0467, 0.0015]","[0.0607, 0.0029]","[0.0368, 0.001]","[0.0568, 0.0027]","[0.0838, 0.0041]","[0.1146, 0.0048]","[0.1434, 0.0054]","[0.0489, 0.0032]","[0.2709, 0.0072]"
KNN,900,,"[0.0607, 0.0028]","[0.0575, 0.0024]","[0.0551, 0.0021]","[0.0653, 0.0037]","[0.0466, 0.0014]","[0.1428, 0.0039]","[0.0537, 0.0021]","[0.0495, 0.0017]","[0.0466, 0.0015]","[0.0608, 0.0029]","[0.0367, 0.001]","[0.0566, 0.0027]","[0.0838, 0.0041]","[0.1144, 0.0048]","[0.1433, 0.0054]","[0.049, 0.0032]","[0.2708, 0.0072]"
KNN,950,,"[0.0606, 0.0028]","[0.0574, 0.0024]","[0.055, 0.0021]","[0.0652, 0.0037]","[0.0465, 0.0014]","[0.1426, 0.0039]","[0.0537, 0.0021]","[0.0494, 0.0017]","[0.0466, 0.0015]","[0.0607, 0.0029]","[0.0367, 0.001]","[0.0564, 0.0027]","[0.0838, 0.0041]","[0.1144, 0.0048]","[0.1433, 0.0054]","[0.0489, 0.0032]","[0.2706, 0.0072]"
KNN,1000,,"[0.0605, 0.0028]","[0.0573, 0.0024]","[0.055, 0.0021]","[0.0651, 0.0037]","[0.0465, 0.0014]","[0.1426, 0.0039]","[0.0535, 0.0021]","[0.0494, 0.0017]","[0.0466, 0.0015]","[0.0606, 0.0029]","[0.0367, 0.001]","[0.0564, 0.0027]","[0.0836, 0.0041]","[0.1143, 0.0048]","[0.1432, 0.0054]","[0.0489, 0.0032]","[0.2705, 0.0072]"
KNN,110,,"[0.0653, 0.0029]","[0.0619, 0.0025]","[0.0593, 0.0022]","[0.0703, 0.0038]","[0.0501, 0.0015]","[0.1523, 0.004]","[0.0578, 0.0022]","[0.0536, 0.0018]","[0.0501, 0.0016]","[0.0652, 0.003]","[0.0398, 0.001]","[0.0604, 0.0028]","[0.0887, 0.0042]","[0.122, 0.0049]","[0.1517, 0.0055]","[0.0524, 0.0033]","[0.2863, 0.0072]"
KNN,120,,"[0.0656, 0.0029]","[0.062, 0.0025]","[0.0593, 0.0022]","[0.0706, 0.0038]","[0.0501, 0.0015]","[0.1518, 0.0039]","[0.0578, 0.0022]","[0.053, 0.0018]","[0.05, 0.0016]","[0.0649, 0.003]","[0.0397, 0.001]","[0.0597, 0.0028]","[0.0891, 0.0042]","[0.1208, 0.0049]","[0.1509, 0.0055]","[0.0518, 0.0033]","[0.2853, 0.0072]"
KNN,130,,"[0.0655, 0.0029]","[0.0619, 0.0025]","[0.0592, 0.0022]","[0.0704, 0.0038]","[0.0501, 0.0015]","[0.1516, 0.0039]","[0.0578, 0.0022]","[0.0531, 0.0018]","[0.0501, 0.0015]","[0.0639, 0.003]","[0.0397, 0.001]","[0.0599, 0.0028]","[0.0891, 0.0042]","[0.1206, 0.0049]","[0.1512, 0.0055]","[0.0509, 0.0033]","[0.2849, 0.0072]"
KNN,140,,"[0.0649, 0.0029]","[0.0616, 0.0025]","[0.059, 0.0022]","[0.0696, 0.0038]","[0.05, 0.0015]","[0.1514, 0.0039]","[0.0581, 0.0022]","[0.0533, 0.0018]","[0.0496, 0.0015]","[0.0646, 0.003]","[0.0396, 0.001]","[0.0603, 0.0028]","[0.0894, 0.0042]","[0.1213, 0.0049]","[0.1506, 0.0055]","[0.0513, 0.0033]","[0.2848, 0.0072]"
KNN,160,,"[0.0645, 0.0029]","[0.0612, 0.0025]","[0.0587, 0.0022]","[0.0693, 0.0038]","[0.0498, 0.0015]","[0.1509, 0.0039]","[0.0573, 0.0022]","[0.053, 0.0018]","[0.05, 0.0015]","[0.0634, 0.003]","[0.0394, 0.001]","[0.0597, 0.0028]","[0.0876, 0.0042]","[0.1209, 0.0049]","[0.1514, 0.0055]","[0.0503, 0.0032]","[0.2842, 0.0072]"
KNN,170,,"[0.0642, 0.0029]","[0.0611, 0.0025]","[0.0586, 0.0022]","[0.0691, 0.0038]","[0.0497, 0.0015]","[0.1507, 0.0039]","[0.0575, 0.0022]","[0.053, 0.0018]","[0.0498, 0.0015]","[0.063, 0.003]","[0.0394, 0.001]","[0.0591, 0.0028]","[0.0884, 0.0042]","[0.1206, 0.0049]","[0.1506, 0.0054]","[0.0501, 0.0032]","[0.2843, 0.0072]"
KNN,180,,"[0.0643, 0.0029]","[0.0612, 0.0025]","[0.0586, 0.0022]","[0.0693, 0.0038]","[0.0497, 0.0015]","[0.1506, 0.0039]","[0.0573, 0.0021]","[0.0533, 0.0018]","[0.0498, 0.0015]","[0.0636, 0.003]","[0.0393, 0.001]","[0.0589, 0.0028]","[0.0877, 0.0042]","[0.1213, 0.0049]","[0.1504, 0.0054]","[0.0508, 0.0033]","[0.2835, 0.0072]"
KNN,190,,"[0.0645, 0.0029]","[0.0613, 0.0025]","[0.0588, 0.0022]","[0.0695, 0.0038]","[0.0496, 0.0015]","[0.1506, 0.0039]","[0.0573, 0.0022]","[0.0532, 0.0018]","[0.0499, 0.0016]","[0.0633, 0.003]","[0.0393, 0.001]","[0.0593, 0.0028]","[0.0877, 0.0042]","[0.1207, 0.0049]","[0.1504, 0.0054]","[0.0505, 0.0032]","[0.2834, 0.0072]"
