model,MAP@10,MAP@20,MAP@50,Precision@10,Precision@20,Precision@50,Recall@10,Recall@20,Recall@50
NN,0.0575,0.0521,0.044,0.0504,0.0441,0.0352,0.0784,0.1351,0.2595
VAE-CF,0.0582,0.0537,0.0464,0.0524,0.0467,0.0381,0.0842,0.1428,0.2769
